"city","state"
"Sainte-Therese","QC"
"Columbus","WI"
"Robinson","PA"
"Surprise Crossing","AZ"
"Castle Shannon","PA"
"Upper Saint Clair","PA"
"Midland","NC"
"Banksville","PA"
"Bedford Hts.","OH"
"Otterburn Park","QC"
"Highland Hills","OH"
"CALGARY","AB"
"Huntersville","NC"
"CHARLOTTE","NC"
"Desert Ridge","AZ"
"Homestead","PA"
"Broadlands","IL"
"Etna","PA"
"Glendale Az","AZ"
"Westworld Scottsdale","AZ"
"Parma Heights","OH"
"mesa","AZ"
"Medicine Hat","AB"
"Nobleton","ON"
"Burton","OH"
"Noyan","QC"
"Elizabeth","PA"
"Pittsburgh ","PA"
"Ahwatukee Foothills Village","AZ"
"Gates Mills","OH"
"Dollard-Des Ormeaux","QC"
"Cote Saint-Luc","QC"
"Val-Morin","QC"
"Bellevue","PA"
"Pineville","NC"
"Olmsted Falls","OH"
"Belœil","QC"
"Las Vegas East","NV"
"East York","ON"
"Lachute","QC"
"Mascouche","QC"
"Coraopolis","PA"
"Parma mid birth","OH"
"Balzac","AB"
"MADISON","WI"
"Thomasboro","IL"
"Plum","PA"
"Oakwood Village","OH"
"Vegas","NV"
"markham","ON"
"glendale","AZ"
"Queen Creek","AK"
"Scarbrough","ON"
"Chandler-Gilbert","AZ"
"Shorewood Hills","WI"
"Medina","OH"
"CLEVELAND","OH"
"White Oak","PA"
"Rougemont","QC"
"Central City Village","AZ"
"Pittsburgh","VA"
"Chestermere","AB"
"Mount Lebanon","PA"
"Sagamore Hills","OH"
"Saint-Jerome","QC"
"Mcfarland","WI"
"Allison Park","PA"
"Downsview","ON"
"Streetsville","ON"
"Plum Boro","PA"
"Independence","OH"
"AZ","AZ"
"North Olmsted,","OH"
"Ambridge","PA"
"LasVegas","NV"
"Garrettsville","OH"
"Mesa","AZ"
"Concord Township","OH"
"Mont St-hilaire","QC"
"North Toronto","ON"
"Alburgh","VT"
"Georgetown","ON"
"Saint-Bernard-de-Lacolle","QC"
"Lower Burrell","PA"
"Pheonix AZ","AZ"
"McCandless Township","PA"
"GOODYEAR","AZ"
"Waunakee","WI"
"North Ridgeville","OH"
"Napierville","QC"
"Old Town Scottsdale","AZ"
"Finleyville","PA"
"TOLLESON","AZ"
"Avalon","PA"
"Ross Township","PA"
"Willowick","OH"
"Litchfield","AZ"
"Farnham","QC"
"Willoughby Hills","OH"
"Nellis","NV"
"Bradfordwoods","PA"
"Mesa Arizona","AZ"
"Pickering Ajax Whitby","ON"
"Median","OH"
